user_id,using_lines_not_secured_personal_assets,debt_ratio,total_times_delayed_payment
1,0.667083229,0.153112222,0
2,0.007092527,0.1488,0
3,0.091212944,0.351635316,1
4,0.112679702,0.06595941,0
5,0.323985404,0.352150538,0
6,0.007299854,0.002288853,0
8,0.062279783,0.406667092,1
10,0.040262851,11.41791045,0
12,0.012197533,859.0,0
13,0.001346024,0.0,0
14,0.964023984,0.059348837,1
16,0.193098651,0.402775101,0
17,0.142581923,0.082849252,0
18,0.021974732,0.278103492,0
19,0.069206769,2610.0,0
20,0.679730033,1546.0,0
21,0.03195895,0.00939812,0
22,0.115360102,1477.0,0
24,0.463463272,0.407847082,0
25,0.385941521,0.238935821,0
26,0.210206778,0.302714363,0
27,0.021943625,0.043182727,0
28,0.017425167,0.893159379,0
30,0.186146156,0.532410244,0
31,0.196758683,2835.0,0
32,0.022846024,0.075768614,0
33,0.457100576,4945.0,0
35,0.188842147,1243.0,0
36,0.071393361,1221.0,0
37,0.009057006,6.0,0
38,0.190081662,0.075886843,0
39,0.713313484,2104.0,0
40,0.026774331,0.128515425,0
44,0.165751474,0.109831235,0
45,0.44596953,1634.0,0
46,0.026803597,56.0,0
47,0.022933674,0.300528031,0
48,0.054887623,0.142308615,0
49,0.000113819,0.17657082,0
50,0.093429188,2.527472527,0
51,0.079321709,0.022127433,0
53,0.010217705,0.003331113,0
54,0.686515026,0.309281786,0
55,0.066789741,0.037913507,0
58,0.014022029,1795.0,0
60,0.182710086,0.028994201,0
61,0.022794657,0.879109226,0
62,0.058241061,36.0,0
63,0.200242796,0.256200281,0
65,0.179847652,0.029359859,0
67,0.719017413,0.244023083,0
68,0.952488964,0.340406402,0
70,0.014271373,0.404897245,0
72,0.05168249,0.007358953,0
73,0.003363534,0.000586396,0
74,0.006739541,0.148370326,0
76,0.242150295,0.830939227,0
77,0.024576473,0.19477403,0
79,0.296724621,0.384670487,0
80,0.028210996,44.0,0
81,0.205034718,0.407417507,0
82,0.244197674,2.350824588,0
83,0.005627802,0.232602845,0
85,0.043186305,0.171342862,0
86,0.878372311,0.277268761,0
87,0.058941059,0.080894383,0
88,0.8732507,0.021000763,2
89,0.592819985,0.20584706,0
90,0.066286816,1207.0,0
91,0.000449978,0.0,0
92,0.03552937,0.0009998,0
94,0.859114089,0.160946351,0
95,0.113051593,0.131024634,0
97,0.6356961,0.252866478,0
98,0.183095507,0.79128727,0
99,0.347330534,0.094502499,0
100,0.520300666,2578.0,0
102,0.002777623,0.076510446,0
103,0.091717813,739.0,0
105,0.012008,0.0031956,0
108,0.32743763,0.382808596,0
110,0.011770756,0.001470156,0
111,0.035565408,0.497233518,0
112,0.970388412,0.391001607,0
113,0.015805942,0.149314482,0
114,0.193265993,0.11572107,0
115,0.045926651,0.023990404,0
116,0.070572099,2130.0,0
119,0.04495646,0.15240501,0
121,0.303717749,0.66953624,0
122,0.012247902,0.001406206,0
123,0.831026048,0.126973311,0
124,0.156464409,1986.0,0
125,0.00999001,197.0,0
126,0.549776335,0.477002706,0
127,0.017651972,0.26843204,0
129,0.135371075,0.408368326,0
130,0.094190527,218.0,0
132,0.066052985,1625.0,0
133,0.021607816,0.395023328,0
134,0.182724252,0.129934841,0
135,0.24652915,318.0,0
136,0.093200479,0.579488644,0
137,0.180525106,0.084591541,0
138,0.167304475,0.595895817,0
140,0.359477533,0.44951712,0
142,0.56839682,0.295764869,0
143,0.098465124,0.25814837,0
145,0.595666278,0.189719049,0
146,0.004422608,17.0,0
147,0.288213073,0.320421821,0
148,0.024022958,0.369784565,0
150,0.026509663,0.191174731,0
151,0.04481627,0.223185121,0
153,0.018292846,0.28651351,0
154,0.087607619,0.374099047,0
155,0.020805188,0.897102897,0
157,0.012537002,0.00129987,0
158,0.005512644,0.952698201,0
161,0.133686631,0.009359251,0
163,0.231598459,0.048652776,0
164,0.056999416,0.116106135,0
165,0.589528305,0.303756917,0
166,0.067784239,2148.0,0
170,0.060912152,0.010618364,0
171,0.543800604,0.669475789,0
172,0.457439022,0.456851885,0
173,0.435939102,0.551185941,0
176,0.246758441,0.147159647,0
177,0.890994063,0.435557957,0
178,0.025914337,1130.0,0
179,0.547659012,0.21193267,0
181,0.074727011,0.030564884,0
182,0.013692447,454.0,0
183,0.017837002,0.677147239,0
185,0.334188969,0.742106816,0
186,0.13299659,2686.0,0
187,0.012595209,533.0,0
188,0.026231338,0.1807896,0
189,0.902209779,0.547390522,0
190,0.053075411,0.381402066,0
192,0.099614267,0.018121547,0
194,0.460357801,2690.0,0
197,0.215235049,0.165489163,0
198,0.411171434,0.550064277,0
199,0.076162047,0.130772893,0
200,0.29814085,0.232157734,0
201,0.206605648,0.310709479,0
204,0.547211731,0.175431303,1
206,0.008934588,965.0,0
209,0.00282216,1449.0,0
210,0.023899602,0.321085888,0
211,0.101386246,0.064100059,0
212,0.021529081,0.009141551,0
213,0.056129591,0.426801802,0
214,0.507256748,828.0,0
216,0.561234083,0.142102616,0
217,0.371964912,0.588068655,0
218,0.268379729,17.0,0
219,0.307807683,0.118822876,0
220,0.965968344,0.577979206,0
221,0.063018372,0.274207369,0
224,0.066146693,0.130836297,0
225,0.766946087,0.058761249,0
226,0.099152137,0.259352084,0
227,0.181689952,0.160707143,0
228,0.08617142,0.379941547,0
230,0.12344773,0.072428648,0
232,0.668308581,0.49310138,0
233,0.794212219,0.433985839,2
234,0.563864244,0.115525632,0
235,0.291253534,0.284709853,0
236,0.082461456,0.886868687,0
238,0.443547022,1779.0,0
239,0.283271754,0.495036544,0
240,0.384871781,0.638788585,0
244,0.991152514,0.789339698,0
246,0.07920536,0.411817853,0
247,0.024719011,0.007197121,0
248,0.079803877,0.246225506,0
249,0.214589891,657.0,0
250,0.014577962,983.0,0
251,0.082763908,0.275878488,0
253,0.767446511,0.113396173,0
254,0.053434037,0.452203824,0
255,0.080083629,32.0,0
256,0.06004476,0.441082803,0
261,0.176125506,283.0,0
262,0.07313241,0.173884077,0
263,0.185666958,0.251218598,0
264,0.143985601,1971.0,0
265,0.069094032,0.209754194,0
267,0.721986227,1.798695247,0
268,0.032748363,1373.0,0
270,0.047483914,0.308350622,0
271,0.037713208,0.009497626,0
272,0.35097686,1.594189316,0
273,0.788686723,0.331334333,0
274,0.184134509,0.605944607,0
276,0.071795214,1586.0,0
277,0.169951252,122.0,0
279,0.244349718,1.225050916,0
280,1.107892108,0.008247938,0
281,0.852213505,0.544367644,0
282,0.074555164,0.252650634,0
284,0.179371097,3.077448747,0
286,0.034332618,0.289311091,0
287,0.01790529,3527.0,0
288,0.035998925,36.0,0
289,0.025216706,0.013994402,0
290,0.022288912,0.368926215,0
292,0.061115648,0.056766346,0
293,0.013021933,0.291536278,0
294,0.021163659,0.412627369,0
